objectid,image_id,title,creator,date,date_full,description,subject,attendees,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
council_001,img_2516,10 August 1540,,1540-08-10,1540-08-10,"Privy Council Register, 1540-1543",,"Thomas Cranmer, Archbishop of Canterbury; Thomas Audley, Baron Audley of Walden; Thomas Howard, Duke of Norfolk; Charles Brandon, Duke of Suffolk; William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; John Russell, Earl of Bedford; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir William Lord Sands; Sir Thomas Cheyne; Sir William Kingston; Sir Anthony Browne; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; Sir Ralph Sadler; Richard Rich, Baron Rich; John Baker",,,,"The National Archives, England, PC 2/1 f.1",,Text,,,,,transcriptions,/objects/img_2516.jpg,/objects/small/img_2516_sm.jpg,/objects/thumbs/img_2516_th.jpg,,/objects/img_2516.md
council_002,img_2517,17 August 1540,,1540-08-17,1540-08-17,"Privy Council Register, 1540-1543",,"William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir William Kingston; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; John Baker",Windsor,51.48428151,-0.604467073,"The National Archives, England, PC 2/1 f.2",,Text,,,,,transcriptions,/objects/img_2517.jpg,/objects/small/img_2517_sm.jpg,/objects/thumbs/img_2517_th.jpg,,/objects/html/0.html
council_003,img_2518,17 August 1540 - 18 August 1540,,1540-08-17,1540-08-17 ; 1540-08-18,"Privy Council Register, 1540-1543",,"William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Thomas Wriothesley, Earl of Southampton; Sir Anthony Wingfield; William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton",Windsor,51.48428151,-0.604467073,"The National Archives, England, PC 2/1 f.3",,Text,,,,,transcriptions,/objects/img_2518.jpg,/objects/small/img_2518_sm.jpg,/objects/thumbs/img_2518_th.jpg,,/objects/html/1.html
council_004,img_2519,18 August 1540 - 21 August 1540 - 22 August 1540,,1540-08-18,1540-08-18 ; 1540-08-21 ; 1540-08-22,"Privy Council Register, 1540-1543",,"William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Windsor; Reading,51.4565018,-0.9651917632,"The National Archives, England, PC 2/1 f.4",,Text,,,,,transcriptions,/objects/img_2519.jpg,/objects/small/img_2519_sm.jpg,/objects/thumbs/img_2519_th.jpg,,/objects/html/2.html
council_005,img_2520,22 August 1540,,1540-08-22,1540-08-22,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Reading,51.4565018,-0.9651917632,"The National Archives, England, PC 2/1 f.5",,Text,,,,,transcriptions,/objects/img_2520.jpg,/objects/small/img_2520_sm.jpg,/objects/thumbs/img_2520_th.jpg,,
council_006,img_2521,22 August 1540 - 23 August 1540,,1540-08-22,1540-08-22 ; 1540-08-23,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Reading,51.4565018,-0.9651917632,"The National Archives, England, PC 2/1 f.6",,Text,,,,,transcriptions,/objects/img_2521.jpg,/objects/small/img_2521_sm.jpg,/objects/thumbs/img_2521_th.jpg,,
council_007,img_2522,25 August 1540,,1540-08-25,1540-08-25,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ewelme,51.60347515,-1.122688147,"The National Archives, England, PC 2/1 f.7",,Text,,,,,transcriptions,/objects/img_2522.jpg,/objects/small/img_2522_sm.jpg,/objects/thumbs/img_2522_th.jpg,,
council_008,img_2523,26 August 1540 - 27 August 1540,,1540-08-26,1540-08-26 ; 1540-08-27,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ewelme; Notley,51.60347515,-1.122688147,"The National Archives, England, PC 2/1 f.8",,Text,,,,,transcriptions,/objects/img_2523.jpg,/objects/small/img_2523_sm.jpg,/objects/thumbs/img_2523_th.jpg,,
council_009,img_2524,27 August 1540,,1540-08-27,1540-08-27,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Notley,51.77736246,-0.9641202038,"The National Archives, England, PC 2/1 f.9",,Text,,,,,transcriptions,/objects/img_2524.jpg,/objects/small/img_2524_sm.jpg,/objects/thumbs/img_2524_th.jpg,,
council_010,img_2525,28 August 1540,,1540-08-28,1540-08-28,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Buckingham,51.99921953,-0.987861065,"The National Archives, England, PC 2/1 f.10",,Text,,,,,transcriptions,/objects/img_2525.jpg,/objects/small/img_2525_sm.jpg,/objects/thumbs/img_2525_th.jpg,,
council_011,img_2526,28 August 1540 - 29 August 1540,,1540-08-28,1540-08-28 ; 1540-08-29,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Buckingham; Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.11",,Text,,,,,transcriptions,/objects/img_2526.jpg,/objects/small/img_2526_sm.jpg,/objects/thumbs/img_2526_th.jpg,,
council_012,img_2527,29 August 1540,,1540-08-29,1540-08-29,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.12",,Text,,,,,transcriptions,/objects/img_2527.jpg,/objects/small/img_2527_sm.jpg,/objects/thumbs/img_2527_th.jpg,,
council_013,img_2528,29 August 1540 - 30 August 1540,,1540-08-29,1540-08-29 ; 1540-08-30,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Sir Thomas Cheyne",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.13",,Text,,,,,transcriptions,/objects/img_2528.jpg,/objects/small/img_2528_sm.jpg,/objects/thumbs/img_2528_th.jpg,,
council_014,img_2529,30 August 1540,,1540-08-30,1540-08-30,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Sir Thomas Cheyne",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.14",,Text,,,,,transcriptions,/objects/img_2529.jpg,/objects/small/img_2529_sm.jpg,/objects/thumbs/img_2529_th.jpg,,
council_015,img_2530,30 August 1540,,1540-08-30,1540-08-30,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Sir Thomas Cheyne",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.15",,Text,,,,,transcriptions,/objects/img_2530.jpg,/objects/small/img_2530_sm.jpg,/objects/thumbs/img_2530_th.jpg,,
council_016,img_2531,30 August 1540 - 31 August 1540,,1540-08-30,1540-08-30 ; 1540-08-31,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Sir Thomas Cheyne; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir William Kingston; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.16",,Text,,,,,transcriptions,/objects/img_2531.jpg,/objects/small/img_2531_sm.jpg,/objects/thumbs/img_2531_th.jpg,,
council_017,img_2532,31 August 1540,,1540-08-31,1540-08-31,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir William Kingston; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.17",,Text,,,,,transcriptions,/objects/img_2532.jpg,/objects/small/img_2532_sm.jpg,/objects/thumbs/img_2532_th.jpg,,
council_018,img_2533,31 August 1540 - 1 September 1540,,1540-08-31,1540-08-31 ; 1540-09-1,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir William Kingston; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.18",,Text,,,,,transcriptions,/objects/img_2533.jpg,/objects/small/img_2533_sm.jpg,/objects/thumbs/img_2533_th.jpg,,
council_019,img_2534,1 September 1540,,1540-09-01,1540-09-01,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.19",,Text,,,,,transcriptions,/objects/img_2534.jpg,/objects/small/img_2534_sm.jpg,/objects/thumbs/img_2534_th.jpg,,
council_020,img_2535,2 September 1540,,1540-09-02,1540-09-02,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.20",,Text,,,,,transcriptions,/objects/img_2535.jpg,/objects/small/img_2535_sm.jpg,/objects/thumbs/img_2535_th.jpg,,
council_021,img_2536,3 September 1540,,1540-09-03,1540-09-03,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.21",,Text,,,,,transcriptions,/objects/img_2536.jpg,/objects/small/img_2536_sm.jpg,/objects/thumbs/img_2536_th.jpg,,
council_022,img_2537,3 September 1540 - 4 September 1540,,1540-09-03,1540-09-03 ; 1540-09-04,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.22",,Text,,,,,transcriptions,/objects/img_2537.jpg,/objects/small/img_2537_sm.jpg,/objects/thumbs/img_2537_th.jpg,,
council_023,img_2538,4 September 1540 - 6 September 1540,,1540-09-04,1540-09-04 ; 1540-09-06,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.23",,Text,,,,,transcriptions,/objects/img_2538.jpg,/objects/small/img_2538_sm.jpg,/objects/thumbs/img_2538_th.jpg,,
council_024,img_2539,6 September 1540 - 7 September 1540,,1540-09-06,1540-09-06 ; 1540-09-07,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Grafton,52.11714099,-0.8936599398,"The National Archives, England, PC 2/1 f.24",,Text,,,,,transcriptions,/objects/img_2539.jpg,/objects/small/img_2539_sm.jpg,/objects/thumbs/img_2539_th.jpg,,
council_025,img_2540,8 September 1540 - 9 September 1540,,1540-09-08,1540-09-08 ; 1540-09-09,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.25",,Text,,,,,transcriptions,/objects/img_2540.jpg,/objects/small/img_2540_sm.jpg,/objects/thumbs/img_2540_th.jpg,,
council_026,img_2541,9 September 1540 - 10 September 1540,,1540-09-09,1540-09-09 ; 1540-09-10,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.26",,Text,,,,,transcriptions,/objects/img_2541.jpg,/objects/small/img_2541_sm.jpg,/objects/thumbs/img_2541_th.jpg,,
council_027,img_2542,10 September 1540 - 12 September 1540,,1540-09-10,1540-09-10 ; 1540-09-12,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.27",,Text,,,,,transcriptions,/objects/img_2542.jpg,/objects/small/img_2542_sm.jpg,/objects/thumbs/img_2542_th.jpg,,
council_028,img_2543,12 September 1540 - 13 September 1540,,1540-09-12,1540-09-12 ; 1540-09-13,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.28",,Text,,,,,transcriptions,/objects/img_2543.jpg,/objects/small/img_2543_sm.jpg,/objects/thumbs/img_2543_th.jpg,,
council_029,img_2544,13 September 1540 - 14 September 1540 - 15 September 1540,,1540-09-13,1540-09-13 ; 1540-09-14 ; 1540-09-15,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich;",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.29",,Text,,,,,transcriptions,/objects/img_2544.jpg,/objects/small/img_2544_sm.jpg,/objects/thumbs/img_2544_th.jpg,,
council_030,img_2545,16 September 1540,,1540-09-16,1540-09-16,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.30",,Text,,,,,transcriptions,/objects/img_2545.jpg,/objects/small/img_2545_sm.jpg,/objects/thumbs/img_2545_th.jpg,,
council_031,img_2546,16 September 1540 - 17 September 1540,,1540-09-16,1540-09-16 ; 1540-09-17,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Thomas Wriothesley, Earl of Southampton",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.31",,Text,,,,,transcriptions,/objects/img_2546.jpg,/objects/small/img_2546_sm.jpg,/objects/thumbs/img_2546_th.jpg,,
council_032,img_2547,17 September 1540 - 18 September 1540 - 19 September 1540,,1540-09-17,1540-09-17 ; 1540-09-18 ; 1540-09-19,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Thomas Wriothesley, Earl of Southampton; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.32",,Text,,,,,transcriptions,/objects/img_2547.jpg,/objects/small/img_2547_sm.jpg,/objects/thumbs/img_2547_th.jpg,,
council_033,img_2548,19 September 1540 - 20 September 1540,,1540-09-19,1540-09-19 ; 1540-09-20,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.33",,Text,,,,,transcriptions,/objects/img_2548.jpg,/objects/small/img_2548_sm.jpg,/objects/thumbs/img_2548_th.jpg,,
council_034,img_2549,21 September 1540 - 22 September 1540,,1540-09-21,1540-09-21 ; 1540-09-22,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ampthill,52.03475652,-0.5075239582,"The National Archives, England, PC 2/1 f.34",,Text,,,,,transcriptions,/objects/img_2549.jpg,/objects/small/img_2549_sm.jpg,/objects/thumbs/img_2549_th.jpg,,
